area_type_code,area_type_name,area_code,area_name,source_admin_code,source_admin_name,primary_admin_code,primary_admin_name,primary_district_name,primary_admin_overlap_share,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,access_buffer_m,store_count_total,store_공부,store_생활서비스,store_쇼핑,store_식사,store_여가문화,store_카페,sales_amount_total,sales_count_total,sales_amount_공부,sales_amount_생활서비스,sales_amount_쇼핑,sales_amount_식사,sales_amount_여가문화,sales_amount_카페,sales_count_공부,sales_count_생활서비스,sales_count_쇼핑,sales_count_식사,sales_count_여가문화,sales_count_카페
R,전통시장,3130094,청량리청과물시장,11230545,제기동,11230545,제기동,동대문구,0.7867686296600591,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1088,4.0,164.0,652.0,207.0,28.0,33.0,795280929324.0,37007541.0,0.0,12931454695.0,763351748327.0,16797689979.0,1760962272.0,439074051.0,0.0,449753.0,35529402.0,953803.0,41771.0,32812.0
R,전통시장,3130090,청량리종합시장,11230545,제기동,11230545,제기동,동대문구,0.9777376964017273,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,712,0.0,71.0,532.0,94.0,7.0,8.0,772908923938.0,29653492.0,0.0,482581976.0,757928801997.0,14497539965.0,0.0,0.0,0.0,32726.0,29174866.0,445900.0,0.0,0.0
R,전통시장,3130093,동서시장,11230545,제기동,11230545,제기동,동대문구,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,269,0.0,0.0,265.0,0.0,4.0,0.0,580491073586.0,25138232.0,0.0,0.0,580491073586.0,0.0,0.0,0.0,0.0,0.0,25138232.0,0.0,0.0,0.0
R,전통시장,3130088,경동시장,11230545,제기동,11230545,제기동,동대문구,0.9740020688544886,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1558,12.0,376.0,888.0,256.0,16.0,10.0,405146654987.0,14504317.0,0.0,3059438556.0,394687742283.0,7399474148.0,0.0,0.0,0.0,134298.0,14110498.0,259521.0,0.0,0.0
R,전통시장,3130092,청량리농수산물시장,11230545,제기동,11230545,제기동,동대문구,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,977,0.0,48.0,672.0,239.0,18.0,0.0,386633892693.0,11135429.0,0.0,0.0,360038556341.0,26595336352.0,0.0,0.0,0.0,0.0,10066963.0,1068466.0,0.0,0.0
R,전통시장,3130087,경동광성상가(경동시장),11230545,제기동,11230545,제기동,동대문구,1.0,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,632,0.0,77.0,451.0,96.0,4.0,4.0,342814476732.0,8889713.0,0.0,895828552.0,330872311875.0,11046336305.0,0.0,0.0,0.0,3633.0,8466194.0,419886.0,0.0,0.0
R,전통시장,3130086,서울약령시장,11230545,제기동,11230545,제기동,동대문구,0.9977989476130855,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,2347,33.0,1347.0,530.0,337.0,56.0,44.0,209720740692.0,2821649.0,43284298.0,67495002714.0,121771244031.0,20293323513.0,81886136.0,36000000.0,229.0,447312.0,2168746.0,198915.0,2539.0,3908.0
D,발달상권,3120063,청량리역(청량리),11230560,전농1동,11230560,전농1동,동대문구,0.8099371415592556,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,4067,111.0,1173.0,1813.0,629.0,236.0,105.0,206839047875.0,9348714.0,147036703.0,70516167075.0,102285933180.0,24835660046.0,6909847751.0,2144403120.0,13445.0,2259291.0,5231257.0,1185422.0,195042.0,464257.0
R,전통시장,3130089,청량리수산시장,11230536,용신동,11230533,용두동,동대문구,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,445,0.0,20.0,386.0,27.0,12.0,0.0,165303066393.0,4144561.0,0.0,0.0,165299698909.0,3367484.0,0.0,0.0,0.0,0.0,4144435.0,126.0,0.0,0.0
D,발달상권,3120069,상봉역,11260590,상봉2동,11260590,상봉2동,중랑구,0.6531945576971301,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,3094,108.0,1140.0,798.0,522.0,478.0,48.0,144703634804.0,8387866.0,7798640260.0,24853094998.0,23339656788.0,72566150510.0,11491324251.0,4654767997.0,37794.0,513667.0,3069795.0,3134756.0,811637.0,820217.0
R,전통시장,3130067,왕십리도선동상점가,11200535,왕십리도선동,11200535,왕십리도선동,성동구,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1956,61.0,717.0,356.0,483.0,279.0,60.0,82842465273.0,1949406.0,0.0,6598386142.0,36450757918.0,27412271962.0,11349300273.0,1031748978.0,0.0,153630.0,792238.0,609376.0,202414.0,191748.0
R,전통시장,3130072,성동용답상가시장,11200790,용답동,11200790,용답동,성동구,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1220,47.0,381.0,257.0,364.0,125.0,46.0,79169840254.0,4603447.0,393722094.0,26923094285.0,23062985921.0,24401996940.0,3063070865.0,1324970149.0,1742.0,1542046.0,1787912.0,954513.0,76025.0,241209.0
R,전통시장,3130091,청량종합도매시장,11230545,제기동,11230545,제기동,동대문구,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,556,0.0,88.0,172.0,239.0,49.0,8.0,71749785792.0,974876.0,0.0,0.0,26753295888.0,44757401568.0,239088336.0,0.0,0.0,0.0,420672.0,551481.0,2723.0,0.0
R,전통시장,3130095,청량리전통시장,11230545,제기동,11230545,제기동,동대문구,0.7122150239264318,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,749,16.0,72.0,168.0,392.0,87.0,14.0,66899006406.0,2661053.0,11084173519.0,7792809027.0,18332106793.0,28226059653.0,1240127800.0,223729614.0,283178.0,259452.0,1108001.0,975200.0,22302.0,12920.0
A,골목상권,3110249,중화역 1번,11260600,중화1동,11260600,중화1동,중랑구,0.7646237774448238,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1083,117.0,506.0,237.0,126.0,65.0,32.0,51925079802.0,2242034.0,2756362213.0,6385639750.0,39259854659.0,2544144743.0,854327589.0,124750848.0,7632.0,203929.0,1954291.0,56481.0,4771.0,14930.0
R,전통시장,3130106,중랑동부시장,11260520,면목2동,11260520,면목2동,중랑구,0.5401694690822278,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1018,14.0,281.0,222.0,294.0,186.0,21.0,48363091039.0,2745131.0,0.0,21292590150.0,10392805566.0,9928874417.0,5113289554.0,1635531352.0,0.0,1104071.0,496288.0,418035.0,473661.0,253076.0
R,전통시장,3130159,공릉동 도깨비시장,11350595,공릉1동,11350595,공릉1동,노원구,1.0000000000000007,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,927,12.0,270.0,299.0,250.0,43.0,53.0,44288282648.0,2348846.0,0.0,4200775802.0,15456214807.0,24397492909.0,160980432.0,72818698.0,0.0,141194.0,666358.0,1533178.0,1539.0,6577.0
D,발달상권,3120086,태릉입구역,11350595,공릉1동,11350595,공릉1동,노원구,1.0000000000000004,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1285,67.0,622.0,206.0,202.0,132.0,56.0,44134108097.0,2376331.0,672337340.0,11518876026.0,4901641059.0,18561784007.0,6537496484.0,1941973181.0,5263.0,737789.0,653474.0,509943.0,139594.0,330268.0
A,골목상권,3110262,상봉역 3번,11260590,상봉2동,11260590,상봉2동,중랑구,0.9999306017734843,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1307,37.0,429.0,116.0,435.0,266.0,24.0,43047332491.0,1538187.0,0.0,2776500645.0,7176109800.0,25905223117.0,6917600527.0,271898402.0,0.0,57726.0,867216.0,442079.0,154412.0,16754.0
A,골목상권,3110429,공릉동 국수거리,11350595,공릉1동,11350595,공릉1동,노원구,1.0,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1702,116.0,807.0,308.0,338.0,74.0,59.0,42709340379.0,1802394.0,1681832818.0,19754907572.0,9587858030.0,10391862646.0,946316963.0,346562350.0,6670.0,699551.0,745925.0,308240.0,17907.0,24101.0
A,골목상권,3110241,먹골역 5번,11260630,묵2동,11260630,묵2동,중랑구,0.9987042500376356,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1232,66.0,530.0,242.0,224.0,149.0,21.0,41550326861.0,3070408.0,0.0,3800077343.0,29001154007.0,6100043651.0,2101989806.0,547062054.0,0.0,70934.0,2637770.0,214932.0,34071.0,112701.0
A,골목상권,3110187,제기동역 6번,11230536,용신동,11230533,용두동,동대문구,0.978753586507576,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1324,34.0,641.0,300.0,253.0,65.0,31.0,39903250216.0,1623233.0,467509772.0,13357288989.0,10755333995.0,14796405294.0,217087557.0,309624609.0,1005.0,602632.0,470642.0,501755.0,2867.0,44332.0
A,골목상권,3110237,메가박스 상봉,11260520,면목2동,11260520,면목2동,중랑구,0.6719425176062737,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1129,25.0,358.0,147.0,314.0,237.0,48.0,39500360518.0,1228302.0,52593361.0,18463935489.0,2200497064.0,12216908904.0,5951957524.0,614468176.0,74.0,502568.0,228217.0,271291.0,141249.0,84903.0
A,골목상권,3110204,간데메공원,11230600,답십리1동,11230600,답십리1동,동대문구,0.6267716141296448,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,908,98.0,348.0,182.0,167.0,74.0,39.0,37504828091.0,909215.0,166612759.0,3511636324.0,27129155207.0,5228345010.0,115588025.0,1353490766.0,768.0,94000.0,496096.0,164129.0,2683.0,151539.0
A,골목상권,3110244,중화역 4번,11260610,중화2동,11260610,중화2동,중랑구,0.9521852165572228,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,701,20.0,232.0,165.0,175.0,94.0,15.0,36810164971.0,1070320.0,0.0,6459473915.0,5073210274.0,23228342617.0,1924742391.0,124395774.0,0.0,435381.0,287973.0,269699.0,52895.0,24372.0
A,골목상권,3110255,상봉역 4번,11260590,상봉2동,11260590,상봉2동,중랑구,0.9306658242987551,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,1260,35.0,490.0,251.0,291.0,143.0,50.0,34028228242.0,1713022.0,45880564.0,3980445418.0,20832158756.0,8121409036.0,923944341.0,124390127.0,83.0,94849.0,1294436.0,291394.0,23384.0,8876.0
R,전통시장,3130097,답십리 건축자재시장,11230600,답십리1동,11230600,답십리1동,동대문구,1.0000000000000007,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,400,248,0.0,115.0,92.0,29.0,4.0,8.0,32200336310.0,466638.0,0.0,414771873.0,31434400370.0,351164067.0,0.0,0.0,0.0,4593.0,453846.0,8199.0,0.0,0.0
